date,open,high,low,close,volume,adj_close
2003-01-01,80.33,80.56,78.53,79.36,6954062,79.36
2003-01-02,79.36,79.94,76.44,77.19,8436467,77.19
2003-01-03,77.19,78.27,76.78,77.81,9311631,77.81
2003-01-04,77.81,81.39,77.49,79.84,1034677,79.84
2003-01-07,79.84,81.12,77.56,78.06,9372218,78.06
2003-01-08,78.06,78.48,78.03,78.29,6456226,78.29
2003-01-09,78.29,81.28,78.11,80.19,6744948,80.19
2003-01-10,80.19,80.47,77.30,77.88,9298930,77.88
2003-01-11,77.88,78.47,76.98,77.22,7968486,77.22
2003-01-14,77.22,77.31,75.85,76.34,6294994,76.34
2003-01-15,76.34,76.57,76.05,76.10,4750197,76.10
2003-01-16,76.10,77.17,76.08,76.85,1463014,76.85
2003-01-17,76.85,79.16,76.39,78.07,6857456,78.07
2003-01-18,78.07,78.95,77.90,78.94,8147508,78.94
2003-01-21,78.94,79.46,77.77,78.09,9867098,78.09
2003-01-22,78.09,79.73,77.39,78.92,3742658,78.92
2003-01-23,78.92,79.29,77.89,77.94,2839151,77.94
2003-01-24,77.94,81.87,76.34,79.91,3144157,79.91
2003-01-25,79.91,80.79,79.47,80.68,5640759,80.68
2003-01-28,80.68,80.73,80.68,80.71,3603381,80.71
2003-01-29,80.71,80.92,78.99,79.55,6229107,79.55
2003-01-30,79.55,79.74,78.38,78.70,8462476,78.70
2003-01-31,78.70,79.55,76.68,77.42,1945833,77.42
2003-02-01,77.42,77.66,75.82,76.47,5838080,76.47
2003-02-04,76.47,76.68,75.78,76.05,7329225,76.05
2003-02-05,76.05,76.25,75.10,75.43,3202980,75.43
2003-02-06,75.43,75.82,75.17,75.77,9448020,75.77
2003-02-07,75.77,77.83,71.73,73.62,8459971,73.62
2003-02-08,73.62,75.77,72.44,75.04,1237924,75.04
2003-02-11,75.04,76.25,72.86,73.71,8232096,73.71
2003-02-12,73.71,74.85,71.18,72.14,1039079,72.14
2003-02-13,72.14,73.77,72.02,73.13,2739475,73.13
2003-02-14,73.13,76.99,72.07,75.28,2087385,75.28
2003-02-15,75.28,77.48,74.50,76.81,5048049,76.81
2003-02-18,76.81,78.13,74.05,75.39,7841505,75.39
