date,open,high,low,close,volume,adj_close
2003-01-01,95.42,96.36,94.00,94.36,2237682,94.36
2003-01-02,94.36,94.84,93.07,93.68,8681184,93.68
2003-01-03,93.68,94.46,93.45,94.41,5860471,94.41
2003-01-04,94.41,96.00,94.22,95.31,7429349,95.31
2003-01-07,95.31,95.83,93.52,93.99,9782626,93.99
2003-01-08,93.99,95.65,93.31,95.62,5420421,95.62
2003-01-09,95.62,97.15,91.19,92.94,3653783,92.94
2003-01-10,92.94,93.09,92.71,92.77,2751467,92.77
2003-01-11,92.77,92.82,90.54,90.83,9404585,90.83
2003-01-14,90.83,90.97,89.25,90.04,2905808,90.04
2003-01-15,90.04,90.08,89.46,89.71,4242173,89.71
2003-01-16,89.71,92.64,89.23,91.38,4321615,91.38
2003-01-17,91.38,92.59,91.24,92.40,3047199,92.40
2003-01-18,92.40,96.02,90.87,94.45,3692586,94.45
2003-01-21,94.45,94.53,93.16,93.23,6111107,93.23
2003-01-22,93.23,96.33,91.72,95.73,8542456,95.73
2003-01-23,95.73,96.48,91.22,93.07,7077064,93.07
2003-01-24,93.07,93.45,92.06,92.43,5276484,92.43
2003-01-25,92.43,96.68,89.76,95.20,3332638,95.20
2003-01-28,95.20,97.27,94.18,96.63,7931097,96.63
2003-01-29,96.63,96.68,96.27,96.29,7733610,96.29
2003-01-30,96.29,98.78,93.32,93.66,5705694,93.66
2003-01-31,93.66,97.28,93.15,95.78,2638716,95.78
2003-02-01,95.78,96.89,92.06,93.75,8891749,93.75
2003-02-04,93.75,97.66,91.95,96.29,9301800,96.29
2003-02-05,96.29,98.95,94.92,98.12,3769039,98.12
2003-02-06,98.12,99.13,97.98,98.82,4053581,98.82
2003-02-07,98.82,99.95,96.09,97.23,4068910,97.23
2003-02-08,97.23,100.67,96.22,100.07,2538340,100.07
2003-02-11,100.07,101.02,96.52,98.03,1531494,98.03
2003-02-12,98.03,99.43,97.45,99.08,6414499,99.08
2003-02-13,99.08,99.75,98.96,99.43,7526216,99.43
2003-02-14,99.43,100.92,95.79,96.94,4162474,96.94
