date,open,high,low,close,volume,adj_close
2003-01-01,98.19,99.14,97.71,98.69,3343917,98.69
2003-01-02,98.69,98.95,98.18,98.40,6034076,98.40
2003-01-03,98.40,99.68,97.73,99.11,6267245,99.11
2003-01-04,99.11,100.54,98.50,100.25,5584635,100.25
2003-01-07,100.25,105.03,100.11,103.01,7631939,103.01
2003-01-08,103.01,106.21,101.96,104.95,8658129,104.95
2003-01-09,104.95,110.37,101.94,108.05,2322188,108.05
2003-01-10,108.05,109.02,105.46,105.89,9294039,105.89
2003-01-11,105.89,106.98,105.51,106.47,9190021,106.47
2003-01-14,106.47,106.58,106.39,106.56,2445041,106.56
2003-01-15,106.56,109.14,105.81,108.22,5370960,108.22
2003-01-16,108.22,108.35,107.60,107.90,4331316,107.90
2003-01-17,107.90,112.94,106.11,110.71,8380695,110.71
2003-01-18,110.71,112.90,109.61,112.81,2619950,112.81
2003-01-21,112.81,113.49,110.26,110.30,6394313,110.30
2003-01-22,110.30,110.99,108.02,108.67,9939508,108.67
2003-01-23,108.67,110.19,107.78,109.99,2287970,109.99
2003-01-24,109.99,111.75,104.93,107.27,7719729,107.27
2003-01-25,107.27,109.43,106.68,109.25,1336911,109.25
2003-01-28,109.25,109.32,107.44,107.85,2900842,107.85
2003-01-29,107.85,108.73,107.45,108.55,4197388,108.55
2003-01-30,108.55,111.90,107.45,110.32,2843412,110.32
2003-01-31,110.32,112.04,105.20,107.26,6034478,107.26
2003-02-01,107.26,107.72,107.03,107.52,2270312,107.52
2003-02-04,107.52,108.21,104.47,104.49,2418809,104.49
2003-02-05,104.49,104.69,103.64,103.71,9785407,103.71
2003-02-06,103.71,106.78,103.05,106.41,5142410,106.41
2003-02-07,106.41,107.50,101.75,103.76,7498437,103.76
2003-02-08,103.76,105.53,103.72,104.67,7601373,104.67
2003-02-11,104.67,105.58,102.69,103.48,3257796,103.48
2003-02-12,103.48,103.67,99.05,100.97,2564722,100.97
2003-02-13,100.97,101.87,98.75,99.76,2209990,99.76
2003-02-14,99.76,101.79,99.57,100.91,8644956,100.91
2003-02-15,100.91,102.46,95.66,98.11,8343541,98.11
2003-02-18,98.11,98.38,97.41,97.74,4237973,97.74
2003-02-19,97.74,102.45,97.20,100.53,6694419,100.53
2003-02-20,100.53,102.55,97.54,98.22,1029029,98.22
2003-02-21,98.22,98.53,97.69,97.85,3309269,97.85
2003-02-22,97.85,99.72,97.77,99.55,5727210,99.55
2003-02-25,99.55,99.57,99.45,99.48,6852320,99.48
2003-02-26,99.48,99.84,99.25,99.76,1389921,99.76
2003-02-27,99.76,100.26,99.51,100.04,1690196,100.04
2003-02-28,100.04,101.55,98.86,101.24,7202461,101.24
2003-03-01,101.24,101.76,101.12,101.59,5426123,101.59
2003-03-04,101.59,101.63,101.37,101.44,7354518,101.44
2003-03-05,101.44,105.94,100.09,103.70,8454198,103.70
2003-03-06,103.70,106.43,103.58,105.24,8786742,105.24
2003-03-07,105.24,106.59,102.70,103.31,3191853,103.31
2003-03-08,103.31,104.81,99.78,101.03,1934482,101.03
2003-03-11,101.03,101.73,100.76,101.43,8924399,101.43
2003-03-12,101.43,101.82,101.25,101.71,7035053,101.71
